,link
0,https://caodang.fpt.edu.vn/tin-tuc-poly/tin-da-nang/hen-uoc-tuong-lai-le-tot-nghiep-dac-biet-cua-600-tan-cu-nhan-fpt-polytechnic-da-nang.html
1,https://caodang.fpt.edu.vn/tin-tuc-poly/hai-phong-tin-tuc-poly/bat-chap-nang-mua-sinh-vien-fpt-polytechnic-hai-phong-van-tich-cuc-tham-gia-dieu-phoi-giao-thong.html
2,https://caodang.fpt.edu.vn/tin-tuc-poly/tp-ho-chi-minh-tin-sinh-vien/1001-kieu-nhan-bang-tot-nghiep-doc-la-cua-tan-cu-nhan-fpt-polytechnic-tp-hcm.html
3,https://caodang.fpt.edu.vn/tin-tuc-poly/ha-noi-tin-sinh-vien/khong-dung-lai-o-thanh-tich-trong-truong-nu-sinh-fpt-polytechnic-ha-noi-lien-tuc-thang-tien-khi-di-thuc-tap.html
4,https://caodang.fpt.edu.vn/tin-tuc-poly/tp-ho-chi-minh-tin-sinh-vien/27-5-2023-tp-hcm-talkshow-web-back-end-nhu-cau-tu-doanh-nghiep.html
5,https://caodang.fpt.edu.vn/tin-tuc-poly/tin-da-nang/du-an-xuong-thuc-hanh-clb-itc-tram-cap-cuu-may-tinh-cua-sinh-vien-fpt-polytechnic-da-nang.html
6,https://caodang.fpt.edu.vn/tin-tuc-poly/tp-ho-chi-minh-tin-sinh-vien/27-5-2023-tp-hcm-talkshow-mang-sieu-xe-vao-game.html
7,https://caodang.fpt.edu.vn/tin-tuc-poly/can-tho-tin-sinh-vien/tu-22-5-sinh-vien-fpt-polytechnic-can-tho-bat-dau-deo-the-sinh-vien-khi-den-truong.html
8,https://caodang.fpt.edu.vn/tin-tuc-poly/tin-tay-nguyen/sinh-vien-fpt-polytechnic-tay-nguyen-gianh-chung-chi-tai-cuoc-thi-vo-dich-tin-hoc-van-phong-the-gioi-moswc.html
9,https://caodang.fpt.edu.vn/tin-tuc-poly/tin-tay-nguyen/trend-maker-mua-3-tro-lai-sinh-vien-fpt-polytechnic-tay-nguyen-show-trinh-sang-tao-theo-style-tu-te.html
10,https://caodang.fpt.edu.vn/tin-tuc-poly/tin-tay-nguyen/fpt-polytechnic-tay-nguyen-dem-lap-trinh-den-gan-voi-tre-em.html
11,https://caodang.fpt.edu.vn/tin-tuc-poly/tin-da-nang/sinh-vien-fpt-polytechnic-duoc-gi-khi-tham-quan-doanh-nghiep.html
12,https://caodang.fpt.edu.vn/tin-tuc-poly/tp-ho-chi-minh-tin-sinh-vien/nu-giang-vien-fpt-polytechnic-hcm-voi-su-menh-danh-thuc-quan-diem-song-cho-sinh-vien.html
13,https://caodang.fpt.edu.vn/tin-tuc-poly/tp-ho-chi-minh-tin-sinh-vien/giang-vien-anh-vu-anh-thay-gen-z-dong-hanh-cung-sinh-vien-fpt-polytechnic-tp-hcm-trong-hanh-trinh-khang-dinh-ban-than.html
14,https://caodang.fpt.edu.vn/tin-tuc-poly/sinh-vien-fpt-polytechnic-tp-hcm-trai-nghiem-va-kham-pha-moi-truong-tai-cong-ty-tnhh-vio-vio-agency.html
15,https://caodang.fpt.edu.vn/tin-tuc-poly/tp-ho-chi-minh-tin-sinh-vien/rapper-freaky-nhan-bang-cu-nhan-tai-fpt-polytechnic-tp-hcm-sang-di-hoc-toi-chay-show-ban-rap.html
16,https://caodang.fpt.edu.vn/tin-tuc-poly/tin-da-nang/thuc-chien-thuc-te-cung-sinh-vien-logistics-fpt-polytechnic-da-nang-tai-cong-ty-co-phan-cang-da-nang-danalog.html
17,https://caodang.fpt.edu.vn/tin-tuc-poly/hanh-trinh-toa-sang-cua-thu-thao-co-nang-da-tai-tai-fpt-polytechnic-tp-hcm.html
18,https://caodang.fpt.edu.vn/tin-tuc-poly/tp-ho-chi-minh-tin-sinh-vien/sinh-vien-fpt-polytechnic-tp-hcm-lac-vao-thien-duong-banh-ngot-tai-workshop-share-to-connect-he-mat-lanh.html
19,https://caodang.fpt.edu.vn/tin-tuc-poly/tp-ho-chi-minh-tin-sinh-vien/quan-quan-polys-got-talent-2022-gianh-giai-trien-vong-tai-cuoc-thi-lien-hoan-vong-co-va-ca-khuc-mang-am-huong-dan-ca-2023.html
